source,destination,distance
0,1829,0.002873001789493086
0,1,0.15109527019008415
1,1830,0.0046147040827674785
1,2,0.0943629555650004
2,1831,0.003997939206600284
2,62,0.16299057393957178
2,354,0.6091459564586421
3,559,0.3726293566395166
3,962,0.09442092037516425
4,76,0.06945396773489411
4,10,0.4155576984236154
5,106,0.009031937715460108
5,810,0.3662307101378708
5,1201,0.2799414254461297
6,1172,0.03333440539584985
7,1851,0.1439751848979942
7,784,0.1757713182744381
8,1834,0.0024155988177495227
8,1833,0.4897069523700074
9,1809,0.07625753390858589
9,1718,0.23610020797732495
9,998,0.21812398538323635
10,4,0.41555769842361545
10,69,0.16676032711788047
11,318,0.008902023384679072
11,12,0.0676034416830408
11,1805,0.051325842633928746
12,11,0.0676034416830408
12,320,0.07785845104441141
12,871,0.2361676566369896
13,868,0.1575727686243728
13,14,0.9134370301538822
14,1730,0.17303159968331255
14,13,0.9134370301538824
14,15,0.36985661376440404
15,1753,0.07040807774435706
15,14,0.36985661376440393
15,492,1.4140993901542578
16,492,0.6219065449124412
16,737,0.29086033060210553
16,967,0.14595085687485904
17,123,0.07411100382661891
17,737,0.010222191616567226
17,1600,0.15887760494470682
18,1607,0.2554684450202523
18,1599,0.2277116696410415
18,508,0.3402249822889629
19,1607,0.33148119580191776
19,1584,0.12787059238557827
19,522,0.14805741014161306
19,1811,0.09774704032003646
20,1585,0.010634758131445404
20,21,0.10444823103368106
20,602,0.0890875262696574
21,606,0.01775607445503318
21,603,0.08511333984945393
21,20,0.10444823103368105
22,500,0.1635129404830875
22,1827,0.24124867668793268
22,609,0.057979154692459955
23,482,0.06941722164898739
23,123,0.5656378642282053
23,471,0.14416103524322232
24,60,0.3603665065312577
24,482,0.08186331109728401
24,480,0.19352872744425878
25,66,0.009186010154733738
25,884,0.7390077386431831
26,1860,0.013084178558798693
26,27,0.15071540426421212
26,319,0.1840077396638293
27,28,0.0831703770780398
27,26,0.15071540426421215
27,29,0.05875005163478514
28,1556,0.17827703984497198
28,27,0.0831703770780398
28,29,0.05857842035335913
29,30,0.1205978848155733
29,27,0.05875005163478514
29,28,0.05857842035335913
30,1565,0.2081418883530274
30,29,0.12059788481557329
30,1558,0.05106869194175866
31,32,0.05445855022096961
31,1029,0.08694690999965879
31,740,0.27207817962920616
31,1023,0.04421733593157331
32,31,0.05445855022096961
32,33,0.06999174897417057
32,33,0.05659011175844401
33,243,0.26372166590644835
33,32,0.06999174897417057
33,32,0.05659011175844401
34,1807,0.017938926995954656
34,1006,0.10875703545078272
34,1411,0.18414209930631137
35,778,0.03671002355335837
35,1413,0.15498054046975834
35,1420,0.20983789668401479
36,1420,0.3892318509470348
37,1514,0.7843000904836065
37,38,1.6390432006385358
38,39,0.01412094922667255
38,1474,0.8725968459001564
38,37,1.6390432006385354
39,38,0.01412094922667255
39,767,0.3449617246127494
40,1512,0.21556933277620138
40,1798,0.13102969549117785
40,1514,1.3369427163430625
41,108,0.32043487260235815
41,78,0.7677960650725159
42,41,2.630128810607138
43,402,0.03847585286635325
43,152,0.03307770237698812
43,125,0.1066462390207607
43,637,0.07017263799694026
44,644,0.21899225296544614
44,697,0.09729875628555108
44,157,0.040358978356824116
45,686,0.10373110123129195
45,648,0.3757626087522451
45,882,0.17782062809845178
46,760,0.10792293209210654
46,1109,0.18810844076151348
46,820,0.21426380599405412
47,1847,0.034003776590122846
47,787,0.6950889577574011
48,1344,0.23592669174844685
48,49,0.22855079424526162
48,819,0.375765766587945
49,48,0.22855079424526162
49,50,0.2407338370766581
49,1361,0.4917490620074298
50,49,0.24073383707665807
50,1793,0.2153266727170076
50,1383,0.17878305297212949
51,1793,0.19349719136899748
51,1365,0.3050782700346337
51,1362,0.2684965753406378
52,1369,0.09191737099017858
52,1373,0.30117638970028304
52,1375,0.07997259750556546
53,1803,0.030974108165137827
53,63,1.1187914538245414
53,54,0.4474083339535988
54,53,0.4474083339535988
54,1478,0.22931343706151297
54,1802,0.06044218999117169
55,1478,0.13548924324592815
55,1474,0.7471278792230616
55,1476,0.25026244014062854
56,130,0.041443261799518336
56,493,0.02430209119955401
56,57,0.0825760857088532
57,59,0.08325370085404007
57,135,0.044538493553545305
57,58,0.013520195138357003
57,56,0.0825760857088532
58,612,0.059031443276384044
58,141,0.03133986660015949
58,57,0.013520195138357003
59,57,0.08325370085404007
59,612,0.023108458642601897
59,142,0.06398327293174674
60,24,0.3603665065312576
60,1828,0.0769412730593009
61,1411,0.11794935326664902
61,1417,0.05863148627975198
62,1835,0.005437635494113357
62,459,0.05739102971117864
62,744,0.14319286604298495
63,1373,1.1289717409964886
63,53,1.1187914538245411
63,64,1.0531493714933362
64,1480,0.21234184780591253
64,63,1.0531493714933364
64,1479,0.13093873812338933
65,107,0.46707734756799146
65,78,0.7093602446820951
66,25,0.009186010154733738
66,319,0.050814159025965894
66,1805,0.3684984922788
67,68,0.04684511068323848
67,471,0.07537736474606596
67,474,0.05020756588151343
68,477,0.03346747636120273
68,67,0.04684511068323848
68,113,0.0968840490348357
69,110,0.41978317033210016
69,10,0.16676032711788047
69,1718,0.04145181813123886
70,104,0.007889807083402188
70,1656,0.7368324365882961
70,1286,0.3492165288252836
71,1844,0.00800444341143068
71,1845,0.07307774976006769
71,1846,0.07782066069231512
72,106,0.45547839250362626
72,1220,0.19886555292552074
73,1001,0.0904463773919711
73,1834,0.13413851858323678
73,452,0.2052454075918733
74,75,0.7585810794870997
74,1858,0.39104029401415064
75,759,2.530593019177988
76,1668,0.04755165795169798
77,419,0.07248637180721938
77,421,0.07393898635143502
77,445,0.3866657749472937
79,109,0.2020718793355234
79,4,0.04086293913518307
80,79,0.02281295030250994
80,107,0.23605667485779316
81,549,0.19531696285637548
81,553,0.16464104955103107
81,789,0.18751202562735908
81,356,0.2794653273351213
82,897,0.0743868630011879
82,571,0.06469978044447147
82,550,0.06638644916163822
83,353,0.0662273463378483
83,354,0.08285358203611466
83,240,0.08520804317964306
83,351,0.06329115967316704
84,884,0.005836428291489307
84,66,0.7410156198970971
84,85,0.5053326715370892
85,86,0.21843425370517097
85,84,0.505332671537089
85,165,0.06248944096623539
86,171,0.11079940307478606
86,85,0.21843425370517094
86,172,0.2740616644821829
87,1521,0.039747770672995744
87,268,0.0695660474301202
87,201,0.3492810533327032
88,1518,0.12341817961927015
88,205,0.08742293951754587
88,1520,0.25866740573410857
89,1869,0.009395152941121782
89,1867,0.02361133395604311
90,372,0.04984050535555802
90,91,0.15002160963171055
90,1002,0.041925281659120135
91,90,0.15002160963171055
91,8,0.12986131407612278
92,957,0.04988151888010274
92,360,0.05824453189979014
92,366,0.4223244471942737
93,94,0.06834957911199654
93,1722,0.06897002177668479
93,162,0.07256157636686553
94,248,0.09137394646763913
94,93,0.06834957911199654
94,889,0.11696336903126428
94,245,0.14390215900732697
95,248,0.1365238359831366
95,899,0.08377950541389198
95,96,0.17292977035237342
96,97,0.042896565389970706
96,95,0.17292977035237345
96,244,0.21609948528671152
97,96,0.042896565389970706
97,372,0.12914502449704052
97,992,0.2221695609021321
98,553,0.05439707149114679
98,247,0.04022129328553516
98,357,0.2052098867879463
